Date,Cases,Deaths,Recovered,Travel_history,Province,City,Latitude (generated),Longitude (generated),Active Cases
2020-03-21,12,0,0,Iran/Taftan,Balochistan,Quetta,30.1802,66.9964,12
2020-03-21,39,0,0,Iran/Taftan,Sindh,Sukkur,27.7221,68.8333,39
2020-03-21,0,0,3,Local - Social Contact,Sindh,Karachi,24.8709,67.1145,-3
2020-03-21,25,0,0,Iran/Taftan,Gilgit-Baltistan,Skardu,35.317806,75.552296,25
2020-03-21,6,0,0,Unknown,Punjab,Lahore,31.4978,74.3601,6
2020-03-21,38,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan,30.056,70.634,38
2020-03-21,1,0,0,Local - Social Contact,Punjab,Jehlum,32.940548,73.727631,1
2020-03-21,4,0,0,Local - Social Contact,Punjab,Gujranwala,32.1547,74.1804,4
2020-03-21,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Peshawar,34.0114,71.5645,1
2020-03-21,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar,34.0114,71.5645,1
2020-03-21,2,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan,31.832,70.902,2
2020-03-21,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Mardan,34.198,72.045,1
2020-03-21,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Karak,33.110578,71.088365,1
2020-03-22,4,0,0,Local - Social Contact,Gilgit-Baltistan,Nagar,36.273351,74.726677,4
2020-03-22,18,0,0,Local - Social Contact,Sindh,Karachi,24.8709,67.1145,18
2020-03-22,23,0,0,Iran/Taftan,Sindh,Sukkur,27.7221,68.8333,23
2020-03-22,1,0,0,Unknown,Islamabad,Islamabad,33.7194,73.0741,1
2020-03-22,15,0,0,Unknown,Punjab,Lahore,31.4978,74.3601,15
2020-03-22,1,0,0,Local - Social Contact,Punjab,Jehlum,32.940548,73.727631,1
2020-03-22,1,0,0,Local - Social Contact,Punjab,Rawalpindi,33.5546,73.1064,1
2020-03-22,43,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan,30.056,70.634,43
2020-03-22,4,1,0,Unknown,Balochistan,Quetta,30.1802,66.9964,3
2020-03-23,7,0,0,Local - Social Contact,Sindh,Karachi,24.8709,67.1145,7
2020-03-23,11,0,0,Iran/Taftan,Sindh,Sukkur,27.7221,68.8333,11
2020-03-23,1,0,0,Iran/Taftan,Sindh,Dadu,26.733,67.783,1
2020-03-23,5,0,0,Iran/Taftan,Balochistan,Taftan,28.959621,61.580755,5
2020-03-23,16,1,0,Iran/Taftan,Gilgit-Baltistan,Skardu,35.317806,75.552296,15
2020-03-23,25,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan,30.056,70.634,25
2020-03-23,16,0,0,Local - Social Contact,Punjab,Lahore,31.4978,74.3601,16
2020-03-23,1,0,0,Unknown,Khyber Pakhtunkhwa,Mansehra,34.333,73.2,1
2020-03-24,8,0,6,Local - Social Contact,Sindh,Karachi,24.8709,67.1145,2
2020-03-24,8,0,0,Iran/Taftan,Sindh,Sukkur,27.7221,68.8333,8
2020-03-24,3,0,10,Local - Social Contact,Sindh,Karachi,24.8709,67.1145,-7
2020-03-24,5,0,0,Local - Social Contact,Gilgit-Baltistan,Gilgit,35.918473,74.3335,5
2020-03-24,37,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan,31.832,70.902,37
2020-03-24,1,0,0,Iran/Taftan,FATA,South Waziristan,32.399536,69.727014,1
2020-03-24,2,0,0,Unknown,Khyber Pakhtunkhwa,Peshawar,34.0114,71.5645,2
2020-03-24,2,0,0,Unknown,Balochistan,Quetta,30.1802,66.9964,2
2020-03-24,7,0,0,Local - Social Contact,Punjab,Lahore,31.4978,74.3601,7
